Date,Time,Temperature,Pressure
06/10/2015,134610.312,36,65535
06/10/2015,134611.312,36,65535
06/10/2015,134612.312,36,65535
06/10/2015,134613.312,36,65535
06/10/2015,134614.312,36,65535
06/10/2015,134615.312,36,65535
06/10/2015,134616.312,36,65535
06/10/2015,134617.312,36,65535
06/10/2015,134618.312,35,65535
06/10/2015,134619.312,35,65535
06/10/2015,134620.312,35,65535
06/10/2015,134621.312,35,65535
06/10/2015,134622.312,35,65535
06/10/2015,134623.312,35,65535
06/10/2015,134624.312,35,65535
06/10/2015,134625.312,35,65535
06/10/2015,134626.312,35,65535
06/10/2015,134627.312,35,65535
06/10/2015,134628.312,35,65535
06/10/2015,134629.312,35,65535
06/10/2015,134630.312,35,65535
06/10/2015,134631.312,35,65535
06/10/2015,134632.312,35,65535
06/10/2015,134633.312,35,65535
06/10/2015,134634.312,36,65535
06/10/2015,134635.312,36,65535
06/10/2015,134636.312,36,65535
06/10/2015,134637.312,36,65535
06/10/2015,134638.312,36,65535
06/10/2015,134639.312,36,65535
06/10/2015,134640.312,36,65535
06/10/2015,134641.312,36,65535
06/10/2015,134642.312,35,65535
06/10/2015,134643.312,35,65535
06/10/2015,134644.312,35,65535
06/10/2015,134645.312,35,65535
06/10/2015,134646.312,35,65535
06/10/2015,134647.312,35,65535
06/10/2015,134648.312,35,65535
06/10/2015,134649.312,35,65535
06/10/2015,134650.312,35,65535
06/10/2015,134651.312,35,65535
06/10/2015,134652.312,35,65535
06/10/2015,134653.312,35,65535
06/10/2015,134654.312,35,65535
06/10/2015,134655.312,35,65535
06/10/2015,134656.312,35,65535
06/10/2015,134657.312,35,65535
06/10/2015,134658.312,35,65535
06/10/2015,134659.312,35,65535
06/10/2015,134700.312,35,65535
06/10/2015,134701.312,35,65535
06/10/2015,134702.312,35,65535
06/10/2015,134703.312,35,65535
06/10/2015,134704.312,35,65535
06/10/2015,134705.312,35,65535
06/10/2015,134706.312,35,65535
06/10/2015,134707.312,35,65535
06/10/2015,134708.312,35,65535
06/10/2015,134709.312,35,65535
06/10/2015,134710.312,35,65535
06/10/2015,134711.312,35,65535
06/10/2015,134712.312,35,65535
06/10/2015,134713.312,35,65535
06/10/2015,134714.312,35,65535
06/10/2015,134715.312,35,65535
06/10/2015,134716.312,35,65535
06/10/2015,134717.312,35,65535
06/10/2015,134718.312,35,65535
06/10/2015,134719.312,35,65535
06/10/2015,134720.312,35,65535
06/10/2015,134721.312,35,65535
06/10/2015,134722.312,36,65535
06/10/2015,134723.312,36,65535
06/10/2015,134724.312,36,65535
06/10/2015,134725.312,36,65535
06/10/2015,134726.312,36,65535
06/10/2015,134727.312,36,65535
06/10/2015,134728.312,36,65535
06/10/2015,134729.312,36,65535
06/10/2015,134730.312,36,65535
06/10/2015,134731.312,36,65535
06/10/2015,134732.312,36,65535
06/10/2015,134733.312,36,65535
06/10/2015,134734.312,36,65535
06/10/2015,134735.312,36,65535
06/10/2015,134736.312,36,65535
06/10/2015,134737.312,36,65535
06/10/2015,134738.312,36,65535
06/10/2015,134739.312,36,65535
06/10/2015,134740.312,36,65535
06/10/2015,134741.312,36,65535
06/10/2015,134742.312,36,65535
06/10/2015,134743.312,36,65535
06/10/2015,134744.312,36,65535
06/10/2015,134745.312,36,65535
06/10/2015,134746.312,36,65535
06/10/2015,134747.312,36,65535
06/10/2015,134748.312,36,65535
06/10/2015,134749.312,36,65535
06/10/2015,134750.312,36,65535
06/10/2015,134751.312,36,65535
06/10/2015,134752.312,36,65535
06/10/2015,134753.312,36,65535
06/10/2015,134754.312,36,65535
06/10/2015,134755.312,36,65535
06/10/2015,134756.312,36,65535
06/10/2015,134757.312,36,65535
06/10/2015,134758.312,36,65535
06/10/2015,134759.312,36,65535
06/10/2015,134800.312,36,65535
06/10/2015,134801.312,36,65535
06/10/2015,134802.312,36,65535
06/10/2015,134803.312,36,65535
06/10/2015,134804.312,36,65535
06/10/2015,134805.312,36,65535
06/10/2015,134806.312,36,65535
06/10/2015,134807.312,36,65535
06/10/2015,134808.312,36,65535
06/10/2015,134809.312,36,65535
06/10/2015,134810.312,36,65535
